"COD_CURSO","COD_ESCOLA","COD_TIPO","CURSO","DURACAO"
435,3041,"B","Gestão da Empresa Agrícola",2
118,3041,"B","Contabilidade e Administração",3
490,3041,"B","Informática de Gestão",3
449,3041,"B","Gestão de Recursos Florestais",3
647,3041,"B","Produção Animal",3
999,3041,"CS","CESE de Contabilidade e Administração de Empresas",2
866,3041,"B","Engenharia do Ambiente e do Território",3
865,3041,"B","Engenharia Biotecnológica",3
970,3041,"CS","CESE de Tecnologia de Produtos Agro-Pecuários",2
971,3041,"CS","CESE de Agricultura Sustentada",2
656,3042,"B","Professores do 1º Ciclo do Ensino Básico",3
182,3042,"B","Educadores de Infância",3
664,3042,"L","Professores do Ensino Básico, Variante de Educação Visual",3
974,3042,"CS","CESE de Metodologia e Supervisão de Formação de Professores do 1º e 2º Ciclos do Ensino Básico",2
975,3042,"CS","CESE de Educação Física",2
680,3042,"L","Professores do 2º Ciclo do Ensino Básico, Variante de Educação Visual e Tecnológica",4
667,3042,"L","Professores do Ensino Básico, Variante de Matemática e Ciências da Natureza",4
670,3042,"L","Professores do Ensino Básico, Variante de Português e Francês",4
683,3042,"L","Professores do Ensino Básico, Variante de Educação Musical",4
118,3043,"B","Contabilidade e Administração",3
232,3043,"B","Engenharia Civil",3
247,3043,"B","Engenharia Electrotécnica",3
976,3043,"CS","CESE de Auditoria e Controlo de Gestão",2
303,3043,"B","Engenharia Mecânica",3
977,3043,"CS","CESE de Informática Aplicada à Gestão",2
118,3044,"B","Contabilidade e Administração",3
490,3044,"B","Informática de Gestão",3
286,3043,"B","Engenharia Informática",3
440,3043,"B","Gestão de Empresas",3
676,3042,"L","Professores do Ensino Básico, Variante de Português e Inglês",4
643,3041,"B","Produção Agrícola",3
285,3041,"B","Engenharia Rural",3
972,3041,"CS","CESE de Gestão de Projectos e do Espaço Rural",2
973,3042,"CS","CESE em Educação Ambiental",2
490,3043,"B","Informática de Gestão",3
658,3042,"L","Professores do Ensino Básico, Variante de Educação Física",4
978,3042,"CS","CESE em Educação Infantil",2
979,3042,"CS","CESE em Administração Escolar",2
980,3042,"CS","CESE em Ensino do Francês no 1º Ciclo do Ensino Básico",2
1572,3043,"L","Informática de Gestão",3
1515,3043,"L","Gestão de Empresas",3
1222,3041,"L","Engenharia Agronómica",3
1432,3041,"L","Engenharia Florestal",5
9991,3043,"L","Gestão",3
1121,3043,"L","Contabilidade e Administração",3
1463,3043,"L","Engenharia Mecânica",3
1398,3043,"L","Engenharia Electrotécnica",3
1245,3043,"L","Engenharia Civil",3
1452,3043,"L","Engenharia Informática",3
1484,3043,"L","Engenharia Quimica",3
625,3042,"L","Educação de Infância",4
707,3042,"L","Ensino Básico - 1º Ciclo",4
1959,3044,"L","Informática de Gestão",3
1916,3044,"L","Contabilidade e Administração",3
