"N_PLANO","COD_CURSO","COD_ESCOLA","N_DISCIPLINA","DISCIPLINA","ANO","SEMESTRE"
2,589,3041,1102,"Desenho Técnico I",1,1
2,589,3041,1101,"Biologia",1,1
2,589,3041,1103,"Física",1,1
2,589,3041,1104,"Maquinaria Agrícola (Laboratório)",1,1
2,589,3041,1105,"Matemática I",1,1
2,589,3041,1107,"Propriedades dos Materiais de Construção",1,1
2,589,3041,1108,"Química",1,1
2,589,3041,1201,"Desenho Técnico II",1,2
2,589,3041,1202,"Fundamentos de Agricultura",1,2
2,589,3041,1204,"Matemática II",1,2
2,589,3041,1205,"Mecânica I",1,2
2,589,3041,1206,"Meteorologia e Hidrologia",1,2
2,589,3041,1208,"Resistência de Materiais I",1,2
2,589,3041,2102,"Matemática III",2,1
2,589,3041,2103,"Mecânica II",2,1
2,589,3041,2104,"Oficinas (Metais II)",2,1
2,589,3041,2105,"Produção Agrícola I",2,1
2,589,3041,2106,"Produção Animal",2,1
2,589,3041,2107,"Resistência de Materiais II",2,1
2,589,3041,2108,"Topografia I",2,1
2,589,3041,2202,"Eletricidade",2,2
2,589,3041,2203,"Máquinas Agrícolas",2,2
2,589,3041,2204,"Mecânica de Fluídos",2,2
2,589,3041,2205,"Motores e Tractores",2,2
2,589,3041,2206,"Oficinas (Serviço, Conservação e Reparação)",2,2
2,589,3041,2207,"Produção Agrícola II",2,2
2,589,3041,2208,"Topografia II",2,2
2,589,3041,3101,"Abastecimentos e Distribuição de Água",3,1
2,589,3041,3103,"Colheita e Armazenamento dos Produtos",3,1
2,589,3041,3104,"Construções Rurais e Serviços",3,1
2,589,3041,3106,"Gestão de Pessoal",3,1
2,589,3041,3107,"Planeamento dos Projetos",3,1
2,589,3041,3210,"Projeto",3,2
1,435,3041,1101,"Biologia",1,1
1,435,3041,1102,"Fundamentos da Agricultura I",1,1
1,435,3041,1103,"Matemática e Estatística Aplicada",1,1
1,435,3041,1104,"Motores e Tractores",1,1
1,435,3041,1105,"Sociologia e Economia Agrária",1,1
1,435,3041,1201,"Contabilidade Agrícola",1,2
1,435,3041,1202,"Fundamentos da Agricultura II",1,2
1,435,3041,1203,"Instalações Agrícolas",1,2
1,435,3041,1204,"Introdução à Gestão",1,2
1,435,3041,2101,"Direito Comercial",2,1
1,435,3041,2103,"(Opção I) Produtos Agrícolas e Alimentares",2,1
1,435,3041,2104,"(Opção I) Técnicas de Produção Agrícola III",2,1
1,435,3041,2105,"(Opção I) Técnicas de Produção Agrícola IV",2,1
1,435,3041,2107,"(Opção I) Técnicas de Produção Florestal",2,1
1,435,3041,2108,"Técnicas de Produção Agrícola II",2,1
1,435,3041,2109,"Técnicas de Produção Animal I",2,1
1,435,3041,2201,"Mercados e Comercialização de Produtos",2,2
1,435,3041,2202,"(Opção II) Técnicas de Produção Animal II",2,2
1,435,3041,2203,"(Opção II) Técnicas de Produção Animal III",2,2
1,435,3041,2205,"Técnicas de Produção Agrícola VI",2,2
1,435,3041,2206,"Técnicas de Regadio",2,2
9,118,3041,1002,"Economia",1,0
9,118,3041,1101,"Contabilidade Pública",1,1
9,118,3041,1102,"Introdução às Ciências Sociais",1,1
